Model,Outcome,ATE,CATE_Mean,CATE_Std,CATE_CalErr
CFRNet,visit,0.006671614717982992,0.006671614717982992,0.019200942573559383,0.0013016509299107824
CHAUN-attn,visit,0.005491357383080779,0.005491357383080779,0.021711201939773498,0.0027956426171208745
CausalForest,visit,0.006294045098027029,0.006294045098027029,0.019295532672916834,0.004564619523714319
ClassTransformation,visit,0.010219244182992438,0.010219244182992438,0.07329702050152677,0.013564570403148523
DESCN-style,visit,0.000951242218911994,0.000951242218911994,0.014991384527975696,0.008378462359807838
DR-Learner,visit,0.007299125764239838,0.007299125764239838,0.05877811439255072,0.01061987754645091
DRA-Net,visit,0.006873919223993451,0.006873919223993451,0.011735078642069848,0.001987725513099621
DragonNet,visit,0.015820429181580605,0.015820429181580605,0.03756223188905338,0.009560152682892599
LogisticInteraction,visit,0.007497294365588649,0.007497294365588649,0.04127871854110781,0.006644150241414693
Naive,visit,0.010291576437611945,0.010291576437611945,1.734723475976807e-18,0.0010406521377087886
R-Learner,visit,0.007346535981419359,0.007346535981419359,0.045906053083598075,0.008722623619493513
S-Learner,visit,0.007113861136759986,0.007113861136759986,0.023874758630829638,0.001347989260243736
T-Learner,visit,0.007774122121769381,0.007774122121769381,0.042783362343973695,0.010453681298095652
TARNet,visit,0.00926009525280819,0.00926009525280819,0.022178881578609148,0.0023317482521221797
UpliftRandomForest,visit,0.00926879989656383,0.00926879989656383,0.021923106357568837,0.002245278090116952
X-Learner,visit,0.007338477867925976,0.007338477867925976,0.03792602760961932,0.007911216849876817
