Model,Outcome,ATE,CATE_Mean,CATE_Std,CATE_CalErr
CFRNet,conversion,0.0018279255441285332,0.0018279255441285332,0.011092187442497927,0.0011217901622966933
CHAUN-attn,conversion,0.00059453283721798,0.00059453283721798,0.006611312748297158,0.0004483199463649206
CausalForest,conversion,0.0008360703013068965,0.0008360703013068965,0.00450486628337696,0.000676967342986199
ClassTransformation,conversion,0.0011842249085210965,0.0011842249085210965,0.02142956492890973,0.0029278628373599234
DESCN-style,conversion,0.0012446128113526528,0.0012446128113526528,0.007788319416308505,0.0006089301174584333
DR-Learner,conversion,0.0010153554905580643,0.0010153554905580643,0.023924050428638495,0.003264059942440939
DRA-Net,conversion,0.0005951836075717191,0.0005951836075717191,0.001143686981789935,0.0003730376536479651
DragonNet,conversion,0.0009501669508119284,0.0009501669508119284,0.004743259584590342,0.00028810076750650476
LogisticInteraction,conversion,0.0010394124377549495,0.0010394124377549495,0.009393910517345824,0.0005992175555974281
Naive,conversion,0.0012159029673628184,0.0012159029673628184,4.336808689942018e-19,0.00034389681569841425
R-Learner,conversion,0.0010903152672458061,0.0010903152672458061,0.019955085881164642,0.0027917293139659433
S-Learner,conversion,0.0009706129249279227,0.0009706129249279227,0.0076808340613134405,0.0007031672927342947
T-Learner,conversion,0.0018111059542946166,0.0018111059542946166,0.01707340891345887,0.0019226309775708292
TARNet,conversion,0.0009480127283446042,0.0009480127283446042,0.007397333882255663,0.0004630084702156569
UpliftRandomForest,conversion,0.0010746281255288861,0.0010746281255288861,0.002893902598800117,0.0005309611481855732
X-Learner,conversion,0.001023217376499346,0.001023217376499346,0.009797762396241916,0.0019579885138221705
