Model,Outcome,Category,ATE,CATE_Mean,CATE_Std,AUUC,Qini,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,PR_AUC,ROC_AUC,F1,Brier,CATE_CalErr,Coverage,IntervalWidth,Pos_CATE_%,Neg_CATE_%,ReliablePos_%,ReliableNeg_%,Uncertain_%,Runtime_s,Memory_MB
Naive,conversion,CLASSICAL,0.0012159029673628,0.0012159029673628,4.33680868994202e-19,0.0005083719667525,0.0044375529018968,0.0008659404729844,0.0010462313523356,0.0009745611241536,0.0009663261172631,0.0030567741942723,0.0030408921914228,0.5218710130285317,0.0,0.0028989980793094,0.0003438968156984,,,1.0,0.0,,,,0.0,0.0
LogisticInteraction,conversion,CLASSICAL,0.0010394124377549,0.0010394124377549,0.0093939105173458,0.0008248209117758,0.1295132242123169,0.0102954221820087,0.0063396730775954,0.0037831438050601,0.0027689654776288,0.0029352332609057,0.1836281964262181,0.9426722969676464,0.1445716650572492,0.0026179750656731,0.0005992175555974,,,0.9669179694783684,0.0330820305216317,,,,12.6,237.7
S-Learner,conversion,META,0.0009706129249279,0.0009706129249279,0.0076808340613134,0.0008146371093624,0.1253064231022011,0.0093232999458409,0.0066970414501994,0.003905275799599,0.0027335894764171,0.0029309195412622,0.2047562359316904,0.9539011472409632,0.1257192174913693,0.0025457211245296,0.0007031672927342,,,0.9191745682635498,0.0808254317364501,,,,8.7,0.0
T-Learner,conversion,META,0.0018111059542946,0.0018111059542946,0.0170734089134588,0.0008197184122624,0.1272138543420328,0.0098130776152357,0.0065819623452849,0.004017007453292,0.002767542972507,0.0029376207832535,0.1937588652183742,0.943924586363599,0.1242646003730807,0.0025714884089419,0.0019226309775708,,,0.9341978951223664,0.0658021048776335,,,,8.2,0.0
X-Learner,conversion,META,0.0010232173764993,0.0010232173764993,0.0097977623962419,0.0007147134554908,0.0857455007036602,0.0094083556463684,0.0061180288001475,0.0035260942465337,0.002368662149631,0.0028223424388372,0.1937588652183742,0.943924586363599,0.1242646003730807,0.0025714884089419,0.0019579885138221,,,0.8614385063180188,0.1385614936819812,,,,20.5,0.0
R-Learner,conversion,META,0.0010903152672458,0.0010903152672458,0.0199550858811646,0.000671969511448,0.0692530267358475,0.0081468433180862,0.0056885695412314,0.0032252357187078,0.0022679206295753,0.002773414953433,,,,,0.0027917293139659,,,0.9406191596417444,0.0593808403582555,,,,70.3,0.0
DR-Learner,conversion,META,0.001015355490558,0.001015355490558,0.0239240504286384,0.0006195306251968,0.0486278170821368,0.0074989981798962,0.0049260269744338,0.0030156939575065,0.0020689657061785,0.0027309567333556,0.1937588652183742,0.943924586363599,0.1242646003730807,0.0025714884089419,0.0032640599424409,,,0.9648416096033312,0.0351583903966686,,,,93.2,0.0
CausalForest,conversion,STRONG_MODERN,0.0008360703013068,0.0008360703013068,0.0045048662833769,0.0008405235316457,0.1350154908218282,0.0109671151227002,0.0068763082787031,0.0040950075541047,0.0028547070824059,0.0029312694123841,,,,,0.0006769673429861,,,0.6137431751710469,0.386256824828953,,,,59.8,
UpliftRandomForest,conversion,STRONG_MODERN,0.0010746281255288,0.0010746281255288,0.0028939025988001,0.0008095542502399,0.1233355091548997,0.0095118484487716,0.0060796546128792,0.0038411779956524,0.0027404763231972,0.0029370370293419,,,,,0.0005309611481855,,,0.9640704855982936,0.0359295144017064,,,,24.3,
ClassTransformation,conversion,CLASSICAL,0.001184224908521,0.001184224908521,0.0214295649289097,0.000651825555528,0.061481375026927,0.0072911980617608,0.0052064461597196,0.0030871121484231,0.0021966839498117,0.0027536112201567,,,,,0.0029278628373599,,,0.9451514803244158,0.0548485196755842,,,,7.1,
