Model,Outcome,Category,ATE,CATE_Mean,CATE_Std,AUUC,Qini,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,PR_AUC,ROC_AUC,F1,Brier,CATE_CalErr,Pos_CATE_%,Neg_CATE_%,Runtime_s,Memory_MB,Coverage,IntervalWidth,ReliablePos_%,ReliableNeg_%,Uncertain_%
CFRNet,conversion,STRONG_MODERN,0.0018279255441285332,0.0018279255441285332,0.011092187442497927,0.00089628757575365,0.157402515034507,0.010539287810885214,0.007312132619462008,0.00427745819023837,0.003041243853271228,0.0030284635444434976,0.21192308247932107,0.9538472402477937,0.15491803278688523,0.002543351292548975,0.0011217901622966933,0.9999995231144063,4.768855937154109e-07,17.3,208.5,,,,,
CHAUN-attn,conversion,RECENT,0.00059453283721798,0.00059453283721798,0.006611312748297158,0.0008766278109021999,0.150083926867472,0.010875544200871487,0.006979902105418401,0.004180867818855151,0.002962160999845396,0.00300579808271288,0.212918420129652,0.9518538408712511,0.05711610486891386,0.0025211208793724073,0.0004483199463649206,0.26221411304763753,0.7377844562955813,25.2,962.0,,,,,
CausalForest,conversion,STRONG_MODERN,0.0008360703013068965,0.0008360703013068965,0.00450486628337696,0.0008405235316457625,0.13501549082182823,0.01096711512270029,0.006876308278703103,0.0040950075541047615,0.002854707082405922,0.002931269412384187,,,,,0.000676967342986199,0.6137431751710469,0.38625682482895307,59.8,,,,,,
ClassTransformation,conversion,CLASSICAL,0.0011842249085210965,0.0011842249085210965,0.02142956492890973,0.0006518255555280367,0.06148137502692707,0.00729119806176089,0.005206446159719677,0.0030871121484231604,0.00219668394981178,0.002753611220156796,,,,,0.0029278628373599234,0.9451514803244158,0.05484851967558427,7.1,,,,,,
DESCN-style,conversion,RECENT,0.0012446128113526528,0.0012446128113526528,0.007788319416308505,0.0008921452982918833,0.15588494826647392,0.00980184491623104,0.007064645466846167,0.004292849270876,0.0030149632502550457,0.0030475267258560554,0.20694910161323718,0.9541830423562466,0.07344461305007587,0.0025291485308006393,0.0006089301174584333,1.0,0.0,8.4,0.0,,,,,
DR-Learner,conversion,META,0.0010153554905580643,0.0010153554905580643,0.023924050428638495,0.0006195306251968035,0.0486278170821368,0.007498998179896202,0.004926026974433888,0.0030156939575065296,0.0020689657061785313,0.0027309567333556216,0.1937588652183742,0.943924586363599,0.12426460037308079,0.002571488408941957,0.003264059942440939,0.9648416096033313,0.03515839039666867,93.2,0.0,,,,,
DRA-Net,conversion,PROPOSED,0.0005951836075717191,0.0005951836075717191,0.001143686981789935,0.0007276728097577701,0.09088636749597023,0.007498998179896202,0.0047397805000769285,0.002918833163835452,0.0021881916913173895,0.0030567741942723633,0.1937588652183742,0.943924586363599,0.12426460037308079,0.002571488408941957,0.0003730376536479651,1.0,0.0,104.8,,1.0,0.12019307116071902,0.046702359963737616,0.0,0.9532976400362624
DragonNet,conversion,STRONG_MODERN,0.0009501669508119284,0.0009501669508119284,0.004743259584590342,0.0008922480097222252,0.1560285963647567,0.011262906013219401,0.007374757262892974,0.004318193141643596,0.0030155965697145695,0.003037681900321541,0.2078288750215845,0.9538018258932944,0.13574533725985136,0.0025398740061132784,0.00028810076750650476,0.9993323601687985,0.0006676398312015753,7.7,0.0,,,,,
LogisticInteraction,conversion,CLASSICAL,0.0010394124377549495,0.0010394124377549495,0.009393910517345824,0.0008248209117758165,0.12951322421231695,0.010295422182008747,0.006339673077595469,0.0037831438050601827,0.002768965477628848,0.002935233260905777,0.1836281964262181,0.9426722969676464,0.14457166505724928,0.0026179750656731547,0.0005992175555974281,0.9669179694783683,0.03308203052163177,12.6,237.7,,,,,
Naive,conversion,CLASSICAL,0.0012159029673628184,0.0012159029673628184,4.336808689942018e-19,0.0005083719667525108,0.004437552901896865,0.0008659404729844905,0.0010462313523356653,0.0009745611241536176,0.000966326117263154,0.0030567741942723633,0.0030408921914228003,0.5218710130285317,0.0,0.002898998079309448,0.00034389681569841425,1.0,0.0,0.0,0.0,,,,,
R-Learner,conversion,META,0.0010903152672458061,0.0010903152672458061,0.019955085881164642,0.0006719695114480287,0.06925302673584754,0.008146843318086204,0.005688569541231415,0.003225235718707891,0.0022679206295753585,0.002773414953433097,,,,,0.0027917293139659433,0.9406191596417445,0.059380840358255534,70.3,0.0,,,,,
