Model,Outcome,Category,ATE,CATE_Mean,CATE_Std,AUUC,Qini,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,PR_AUC,ROC_AUC,F1,Brier,CATE_CalErr,Pos_CATE_%,Neg_CATE_%,Runtime_s,Memory_MB,Coverage,IntervalWidth,ReliablePos_%,ReliableNeg_%,Uncertain_%
CFRNet,visit,STRONG_MODERN,0.006671614717982992,0.006671614717982992,0.019200942573559383,0.008931321306604751,0.09063316965384963,0.08399206421343952,0.061588180092666145,0.039761761812826896,0.029836411549490335,0.04793193524154334,0.5141876756425239,0.94518100455648,0.4261531356051326,0.02991509069547356,0.0013016509299107824,0.9768972774124569,0.02310272258754308,11.5,3.3,,,,,
CHAUN-attn,visit,RECENT,0.005491357383080779,0.005491357383080779,0.021711201939773498,0.008431838950586723,0.07873306272471037,0.08062755429034807,0.05974593907249667,0.03909525271914177,0.028737490138568716,0.04747460006224079,0.5119316464727999,0.9451439685107597,0.38363558474939313,0.02998578616151602,0.0027956426171208745,0.9063086718307019,0.0936913281692982,51.1,1019.6,,,,,
CausalForest,visit,STRONG_MODERN,0.006294045098027029,0.006294045098027029,0.019295532672916834,0.008640234332636975,0.08367900997186664,0.08408029718830312,0.05932763443598679,0.03973855495083639,0.029209771954099698,0.04754340429317733,,,,,0.004564619523714319,0.7584822448340176,0.24151775516598242,62.9,,,,,,
ClassTransformation,visit,CLASSICAL,0.010219244182992438,0.010219244182992438,0.07329702050152677,0.008064434090211433,0.06999754850900744,0.07698821637280728,0.05710811068031721,0.03590648069607821,0.027056549204808725,0.04679682600741403,,,,,0.013564570403148523,0.9589797318853815,0.0410202681146185,6.5,,,,,,
DESCN-style,visit,RECENT,0.000951242218911994,0.000951242218911994,0.014991384527975696,0.008102090514106005,0.07101365367296218,0.10088846316455094,0.0650861512590155,0.03812186714738264,0.027198729020689386,0.04665763148725263,0.5111307570295214,0.9454368846054504,0.40932812821039655,0.029971180931217933,0.008378462359807838,0.9039714555359025,0.09602806757850371,15.1,0.0,,,,,
DR-Learner,visit,META,0.007299125764239838,0.007299125764239838,0.05877811439255072,0.0073085483085707165,0.05195204498500443,0.06819145947747518,0.05146434322901311,0.033292642393108585,0.024292192867682347,0.04606934001560155,0.5128337482232633,0.945862681035545,0.4276661812717347,0.029903893434855926,0.01061987754645091,0.9503080442492605,0.04969195575073953,91.6,0.0,,,,,
DRA-Net,visit,PROPOSED,0.006873919223993451,0.006873919223993451,0.011735078642069848,0.007879288019117983,0.065556154621411,0.06819145947747518,0.05146434322901311,0.033292642393108585,0.02455848100514843,0.04606934001560155,0.5128337482232633,0.945862681035545,0.4276661812717347,0.029903893434855926,0.001987725513099621,1.0,0.0,96.4,,1.0,0.03650941011963008,0.08908556710519476,0.0,0.9109144328948052
DragonNet,visit,STRONG_MODERN,0.015820429181580605,0.015820429181580605,0.03756223188905338,0.008763313430314435,0.08654918042066419,0.07110201620510959,0.05362817326594721,0.03820933202392823,0.029154608284201883,0.04784341120567396,0.5141164463128398,0.9455252701596071,0.46117743978930154,0.02996240483533848,0.009560152682892599,0.9999995231144063,4.768855937154109e-07,13.3,0.0,,,,,
LogisticInteraction,visit,CLASSICAL,0.007497294365588649,0.007497294365588649,0.04127871854110781,0.008334438430263703,0.07657595438488198,0.08650999863102199,0.060880051682378866,0.037445169423645855,0.027742629520996626,0.047307183354996195,0.463323064854315,0.9342295607160849,0.37975011417314786,0.032287148491480844,0.006644150241414693,0.4953634798151019,0.5046365201848981,145.4,237.9,,,,,
Naive,visit,CLASSICAL,0.010291576437611945,0.010291576437611945,1.734723475976807e-18,0.005185232407681562,0.001238537026539963,0.010161500209204657,0.010770887558556999,0.010126380523106417,0.010431446849299579,0.04850833571325573,0.04832008155421291,0.5146287325734943,0.0,0.04474811994075906,0.0010406521377087886,1.0,0.0,0.0,0.0,,,,,
R-Learner,visit,META,0.007346535981419359,0.007346535981419359,0.045906053083598075,0.007884899685039184,0.06565510613762601,0.06959555794002281,0.054417745121238564,0.03670902021698019,0.026574678255100542,0.04678240709518524,,,,,0.008722623619493513,0.9425171643047318,0.0574828356952682,66.4,0.0,,,,,
S-Learner,visit,META,0.007113861136759986,0.007113861136759986,0.023874758630829638,0.00887615763686418,0.08934383664697511,0.09113819309820748,0.06034260219280907,0.04001595280128159,0.02942488236013155,0.0479913812722856,0.5170948767505613,0.9466305955323985,0.43029935894448845,0.02976594508612786,0.001347989260243736,0.911410870797863,0.08858912920213702,7.5,0.0,,,,,
T-Learner,visit,META,0.007774122121769381,0.007774122121769381,0.042783362343973695,0.007803628287903182,0.06370255135707889,0.07341083649668795,0.05634287056637094,0.036536323961234754,0.026572567999494867,0.046675795093550854,0.5128337482232633,0.945862681035545,0.4276661812717347,0.029903893434855926,0.010453681298095652,0.7547944885378163,0.2452055114621837,7.7,0.0,,,,,
TARNet,visit,STRONG_MODERN,0.00926009525280819,0.00926009525280819,0.022178881578609148,0.00906828604841353,0.09390123671613856,0.0968224988649759,0.06720914712210632,0.04032955710080996,0.030031402668066184,0.04811899434970988,0.5159882729601551,0.9458484493974317,0.4231913719048324,0.029810262698966028,0.0023317482521221797,0.99262353363641,0.007376466363589976,17.4,589.2,,,,,
UpliftRandomForest,visit,STRONG_MODERN,0.00926879989656383,0.00926879989656383,0.021923106357568837,0.00891206815102646,0.09034281255551031,0.0893133537210955,0.061444709214250076,0.038929331951037885,0.02968816476339417,0.047494943910042296,,,,,0.002245278090116952,0.9106192407122954,0.0893807592877046,25.4,,,,,,
X-Learner,visit,META,0.007338477867925976,0.007338477867925976,0.03792602760961932,0.008221274308372708,0.073643158083156,0.0763254861585132,0.05701713229641933,0.038335106360598795,0.027740055674935232,0.04715428650080179,0.5128337482232633,0.945862681035545,0.4276661812717347,0.029903893434855926,0.007911216849876817,0.885139243440081,0.11486075655991901,19.7,0.0,,,,,
