Model,PolicyValue
CFRNet,0.0030284635444434976
CHAUN-attn,0.00300579808271288
CausalForest,0.002931269412384187
ClassTransformation,0.002753611220156796
DESCN-style,0.0030475267258560554
DR-Learner,0.0027309567333556216
DRA-Net,0.0030567741942723633
DragonNet,0.003037681900321541
LogisticInteraction,0.002935233260905777
Naive,0.0030567741942723633
R-Learner,0.002773414953433097
S-Learner,0.002930919541262239
T-Learner,0.0029376207832535694
TARNet,0.0030273187086313426
UpliftRandomForest,0.0029370370293419793
X-Learner,0.002822342438837292
