Model,PolicyValue
CFRNet,0.04793193524154334
CHAUN-attn,0.04747460006224079
CausalForest,0.04754340429317733
ClassTransformation,0.04679682600741403
DESCN-style,0.04665763148725263
DR-Learner,0.04606934001560155
DRA-Net,0.04606934001560155
DragonNet,0.04784341120567396
LogisticInteraction,0.047307183354996195
Naive,0.04850833571325573
R-Learner,0.04678240709518524
S-Learner,0.0479913812722856
T-Learner,0.046675795093550854
TARNet,0.04811899434970988
UpliftRandomForest,0.047494943910042296
X-Learner,0.04715428650080179
