Model,AUUC,Qini,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%
CFRNet,0.00089628757575365,0.157402515034507,0.010539287810885214,0.007312132619462008,0.00427745819023837,0.003041243853271228
CHAUN-attn,0.0008766278109021999,0.150083926867472,0.010875544200871487,0.006979902105418401,0.004180867818855151,0.002962160999845396
CausalForest,0.0008405235316457625,0.13501549082182823,0.01096711512270029,0.006876308278703103,0.0040950075541047615,0.002854707082405922
ClassTransformation,0.0006518255555280367,0.06148137502692707,0.00729119806176089,0.005206446159719677,0.0030871121484231604,0.00219668394981178
DESCN-style,0.0008921452982918833,0.15588494826647392,0.00980184491623104,0.007064645466846167,0.004292849270876,0.0030149632502550457
DR-Learner,0.0006195306251968035,0.0486278170821368,0.007498998179896202,0.004926026974433888,0.0030156939575065296,0.0020689657061785313
DRA-Net,0.0007276728097577701,0.09088636749597023,0.007498998179896202,0.0047397805000769285,0.002918833163835452,0.0021881916913173895
DragonNet,0.0008922480097222252,0.1560285963647567,0.011262906013219401,0.007374757262892974,0.004318193141643596,0.0030155965697145695
LogisticInteraction,0.0008248209117758165,0.12951322421231695,0.010295422182008747,0.006339673077595469,0.0037831438050601827,0.002768965477628848
Naive,0.0005083719667525108,0.004437552901896865,0.0008659404729844905,0.0010462313523356653,0.0009745611241536176,0.000966326117263154
R-Learner,0.0006719695114480287,0.06925302673584754,0.008146843318086204,0.005688569541231415,0.003225235718707891,0.0022679206295753585
S-Learner,0.000814637109362427,0.12530642310220116,0.009323299945840996,0.0066970414501994376,0.003905275799599003,0.002733589476417152
T-Learner,0.000819718412262462,0.1272138543420328,0.00981307761523574,0.0065819623452849085,0.004017007453292046,0.0027675429725070597
TARNet,0.0008954606413453516,0.1572061626086996,0.010165886551299921,0.006831863990666404,0.004202727015239643,0.003043772601760663
UpliftRandomForest,0.0008095542502399041,0.12333550915489976,0.009511848448771697,0.0060796546128792026,0.0038411779956524835,0.002740476323197229
X-Learner,0.0007147134554908631,0.0857455007036602,0.009408355646368476,0.006118028800147512,0.0035260942465337834,0.002368662149631072
