Model,AUUC,Qini,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%
CFRNet,0.008931321306604751,0.09063316965384963,0.08399206421343952,0.061588180092666145,0.039761761812826896,0.029836411549490335
CHAUN-attn,0.008431838950586723,0.07873306272471037,0.08062755429034807,0.05974593907249667,0.03909525271914177,0.028737490138568716
CausalForest,0.008640234332636975,0.08367900997186664,0.08408029718830312,0.05932763443598679,0.03973855495083639,0.029209771954099698
ClassTransformation,0.008064434090211433,0.06999754850900744,0.07698821637280728,0.05710811068031721,0.03590648069607821,0.027056549204808725
DESCN-style,0.008102090514106005,0.07101365367296218,0.10088846316455094,0.0650861512590155,0.03812186714738264,0.027198729020689386
DR-Learner,0.0073085483085707165,0.05195204498500443,0.06819145947747518,0.05146434322901311,0.033292642393108585,0.024292192867682347
DRA-Net,0.007879288019117983,0.065556154621411,0.06819145947747518,0.05146434322901311,0.033292642393108585,0.02455848100514843
DragonNet,0.008763313430314435,0.08654918042066419,0.07110201620510959,0.05362817326594721,0.03820933202392823,0.029154608284201883
LogisticInteraction,0.008334438430263703,0.07657595438488198,0.08650999863102199,0.060880051682378866,0.037445169423645855,0.027742629520996626
Naive,0.005185232407681562,0.001238537026539963,0.010161500209204657,0.010770887558556999,0.010126380523106417,0.010431446849299579
R-Learner,0.007884899685039184,0.06565510613762601,0.06959555794002281,0.054417745121238564,0.03670902021698019,0.026574678255100542
S-Learner,0.00887615763686418,0.08934383664697511,0.09113819309820748,0.06034260219280907,0.04001595280128159,0.02942488236013155
T-Learner,0.007803628287903182,0.06370255135707889,0.07341083649668795,0.05634287056637094,0.036536323961234754,0.026572567999494867
TARNet,0.00906828604841353,0.09390123671613856,0.0968224988649759,0.06720914712210632,0.04032955710080996,0.030031402668066184
UpliftRandomForest,0.00891206815102646,0.09034281255551031,0.0893133537210955,0.061444709214250076,0.038929331951037885,0.02968816476339417
X-Learner,0.008221274308372708,0.073643158083156,0.0763254861585132,0.05701713229641933,0.038335106360598795,0.027740055674935232
