DATE,YEAR,IS_WEEKEND,QUARTER,IS_HOLIDAY,OCCUPANCY_RATE,STAFFED_BEDS,ADMISSIONS,ER_VISITS,OP_VISITS,SURGERIES,DISCHARGES,AVG_LENGTH_OF_STAY,GROSS_CHARGES_MEDICARE,GROSS_CHARGES_MEDICAID,GROSS_CHARGES_COMMERCIAL,GROSS_CHARGES_SELFPAY,GROSS_CHARGES_OTHER,TOTAL_GROSS_CHARGES,CHARITY_CARE,BAD_DEBT,CLAIMS_SUBMITTED,DENIAL_RATE,CLAIMS_DENIED,CASH_COLLECTED,LABOR_EXP,SUPPLY_EXP,OVERHEAD_EXP,CAPITAL_EXP,OTHER_OPERATING_EXP,BUDGETED_LABOR_EXP,BUDGETED_SUPPLY_EXP,BUDGETED_PHARMACY_EXP,BUDGETED_OVERHEAD_EXP,BUDGET_VARIANCE,OPERATING_MARGIN_PCT,DOW_SIN,DOW_COS,MONTH_SIN,MONTH_COS,NET_PATIENT_REVENUE,TOTAL_OPERATING_EXP,IS_ANOMALY,ANOMALY_TYPE,YEAR_scaled,IS_WEEKEND_scaled,QUARTER_scaled,IS_HOLIDAY_scaled,OCCUPANCY_RATE_scaled,STAFFED_BEDS_scaled,ADMISSIONS_scaled,ER_VISITS_scaled,OP_VISITS_scaled,SURGERIES_scaled,DISCHARGES_scaled,AVG_LENGTH_OF_STAY_scaled,GROSS_CHARGES_MEDICARE_scaled,GROSS_CHARGES_MEDICAID_scaled,GROSS_CHARGES_COMMERCIAL_scaled,GROSS_CHARGES_SELFPAY_scaled,GROSS_CHARGES_OTHER_scaled,TOTAL_GROSS_CHARGES_scaled,CHARITY_CARE_scaled,BAD_DEBT_scaled,CLAIMS_SUBMITTED_scaled,DENIAL_RATE_scaled,CLAIMS_DENIED_scaled,CASH_COLLECTED_scaled,LABOR_EXP_scaled,SUPPLY_EXP_scaled,OVERHEAD_EXP_scaled,CAPITAL_EXP_scaled,OTHER_OPERATING_EXP_scaled,BUDGETED_LABOR_EXP_scaled,BUDGETED_SUPPLY_EXP_scaled,BUDGETED_PHARMACY_EXP_scaled,BUDGETED_OVERHEAD_EXP_scaled,BUDGET_VARIANCE_scaled,OPERATING_MARGIN_PCT_scaled,DOW_SIN_scaled,DOW_COS_scaled,MONTH_SIN_scaled,MONTH_COS_scaled,NET_PATIENT_REVENUE_scaled,TOTAL_OPERATING_EXP_scaled
2016-01-01,2016,0,1,1,0.5103,250,19,44,93.97,14.02,31,3.58,64673.85,33835.5,47064.07,10956.19,6010.39,162540.0,1975.29,4275.68,39,0.09,4.0,142561.66,50572.0,8005.41,8995.53,0.0,3321.21,55733.9,8597.59,12077.17,9045.49,-7362.0,13.449033423335877,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,93689.93,81089.54000000001,0,NONE,-1.499462434843018,-0.6327152495993559,-1.3502561445254266,9.503758654944294,-2.6225777298240676,0.31222621080467605,-2.331559679371483,0.8913930787846955,-2.449658334744191,-1.669132901846987,0.43259827595424805,-1.336271289895968,-2.2312762195783598,-1.8973265433997797,-1.6700491536752111,-0.2626398536146009,-0.39833065261136014,-2.331257510561238,-1.8878307333114737,-0.5036643912484596,-1.9427650093370987,0.033443925121346856,-0.8259728115241829,0.42293154286164214,-2.4669477149283363,-0.571959706019848,-1.3437352272178427,-1.004570930657327,0.8437918584967591,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,-1.1828191565373092,-2.4773031556529466,-0.6127920270187031,-1.273610370019567,0.7150983577711966,1.2252754129655061,-2.7853715917131163,-2.751520449122208
2016-01-02,2016,1,1,0,0.5623569934275641,240,19,24,101.01,12.97,20,4.78,65388.59,35208.6,41402.86,9048.77,4465.96,155514.78,2015.5,4050.88,36,0.0928,3.0,146728.44,50741.25,7475.47,9385.68,0.0,3433.14,55733.9,8597.59,12077.17,9045.49,-6960.81,8.603082453937747,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,89144.56,81475.37999999999,0,NONE,-1.499462434843018,1.580489802692782,-1.3502561445254266,-0.10522152721962842,-2.1296845664951984,-3.824366644260328,-2.331559679371483,-2.7525591233775235,-1.987638194443244,-2.1249501131933495,-2.554071264488839,1.2257224778600864,-2.189494314611344,-1.767743702926912,-2.1163107586820216,-0.7136654365829213,-0.9035045433184707,-2.5315010693059246,-1.842512501179591,-0.692060707074446,-2.382004314551661,0.2963104596463274,-2.008510593756734,0.6141970494655568,-2.435567952093025,-0.9074161993923598,-0.7992590235516878,-1.004570930657327,1.1270788096614963,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,-1.1078080907882701,-3.258229905124654,-1.3779027538551831,-0.314087851349188,0.7150983577711966,1.2252754129655061,-3.1216635831610597,-2.69010070196238
2016-01-03,2016,1,1,0,0.5636047923750731,250,23,29,109.11,14.0,18,3.94,66501.56,34442.96,48522.19,7459.03,7402.7,164328.44,1909.27,3676.26,43,0.0905,4.0,145086.22,51090.64,7207.53,9651.68,0.0,2358.23,55733.9,8597.59,12077.17,9045.49,-7439.86,16.693275826696482,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,97240.95,81008.24999999999,0,NONE,-1.499462434843018,1.580489802692782,-1.3502561445254266,-0.10522152721962842,-2.117869985399731,0.31222621080467605,-1.4418386630445224,-1.8415710728369687,-1.4560525216538032,-1.6778151344440604,-3.097102090023945,-0.5676731595691522,-2.1244328842014886,-1.839999041925999,-1.5551085364763204,-1.089572898111089,0.05708568854389898,-2.2802806599855483,-1.9622378381447712,-1.0060154572289428,-1.357112602384349,0.08038437771509348,-0.8259728115241829,0.5388150901936295,-2.3707893681223933,-1.0770244811492211,-0.42804110691655417,-1.004570930657327,-1.5934427366307233,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,-1.1973767516399292,-1.9544923202661124,-1.1048378969672386,0.8824171587403873,0.7150983577711966,1.2252754129655061,-2.5338106907935867,-2.7644978238504225
2016-01-04,2016,0,1,0,0.6712989659721644,250,21,28,131.89,19.0,23,4.7,76513.25,33103.4,53452.17,9300.3,5740.53,178109.65,1947.84,3930.25,42,0.0854,4.0,142118.38,55313.4,8785.04,9372.48,0.0,2433.16,55733.9,8597.59,12077.17,9045.49,-25.36,12.460422196240167,0.0,1.0,0.49999999999999994,0.8660254037844387,101009.9,88423.64,0,NONE,-1.499462434843018,-0.6327152495993559,-1.3502561445254266,-0.10522152721962842,-1.0981852437094428,0.31222621080467605,-1.8866991712080028,-2.0237686829450796,0.03895014824045165,0.492743014824336,-1.7395250261861788,1.054922893343016,-1.5391746362522691,-1.966416629708269,-1.1664882967304933,-0.6541890418276911,-0.4866002576735651,-1.8874675474840379,-1.918767949725803,-0.7931561144502856,-1.5035257041225363,-0.39840823874112097,-0.8259728115241829,0.4025838946135026,-1.5878693840134455,-0.07844733494385453,-0.8176803637756879,-1.004570930657327,-1.403800181008694,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,0.18892287446304126,-2.6366182120665234,0.0007791369005377111,1.4149119833974706,0.7150983577711966,1.2252754129655061,-2.2766681504109494,-1.6312017852319893
2016-01-05,2016,0,1,0,0.6869191508991932,250,24,29,122.07,20.97,21,4.25,87974.32,38826.19,60656.48,8098.81,6024.43,201580.23,2394.54,4592.84,47,0.0862,4.0,142640.02,54865.81,9415.22,9216.6,0.0,3187.99,55733.9,8597.59,12077.17,9045.49,976.74,24.041623922333258,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,117754.4,89444.33,0,NONE,-1.499462434843018,-0.6327152495993559,-1.3502561445254266,-0.10522152721962842,-0.9502880669126653,0.31222621080467605,-1.2194084089627824,-1.8415710728369687,-0.6055154451906976,1.3479429256360838,-2.2825558517212854,0.09417523043449527,-0.8691892743579871,-1.426342794132037,-0.5985872749406962,-0.9382915088672559,-0.3937382519033139,-1.218473200687515,-1.4153196957265008,-0.23786467804841635,-0.7714601954315992,-0.3233035145911269,-0.8259728115241829,0.42652846064887356,-1.6708547195966486,0.32046192458267525,-1.0352196451481852,-1.004570930657327,0.5066214159508248,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,0.3762869388393022,-0.7703033698308659,1.1063961707683139,0.8824171587403876,0.7150983577711966,1.2252754129655061,-1.2394677218692438,-1.4827012111125495
2016-01-06,2016,0,1,0,0.6914902083885108,250,28,29,124.11,19.99,25,4.41,102382.6,40641.89,60895.82,13316.64,3595.86,220832.81,3526.74,5287.29,51,0.0832,4.0,144661.31,55756.19,9093.27,9029.01,0.0,2744.9,55733.9,8597.59,12077.17,9045.49,1018.74,31.56550635156758,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,130789.76,89505.31,0,NONE,-1.499462434843018,-0.6327152495993559,-1.3502561445254266,-0.10522152721962842,-0.907007753599855,0.31222621080467605,-0.32968739263582164,-1.8415710728369687,-0.4716346090807638,0.9225135283794779,-1.196494200651072,0.4357743994686361,-0.026917419280395063,-1.2549906978196157,-0.5797205922805708,0.2955085024462411,-1.1881090914716774,-0.6697067372576472,-0.13928631050597312,0.3441274105875092,-0.1858077884788494,-0.6049462301536066,-0.8259728115241829,0.5193106703751917,-1.5057739914825885,0.11666485691222213,-1.297012009740609,-1.004570930657327,-0.6148081846172404,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,0.3841397386634744,0.4421730018809602,1.3794610276562587,-0.31408785134918765,0.7150983577711966,1.2252754129655061,-0.5295053900973463,-1.4738829309697443
2016-01-07,2016,0,1,0,0.6809927124047456,250,24,25,122.16,18.01,23,4.1,87760.45,38186.47,55939.6,5944.46,5091.92,192922.9,2922.83,4860.68,44,0.0894,4.0,144246.68,55284.87,8708.08,9181.53,0.0,2688.72,55733.9,8597.59,12077.17,9045.49,238.28,20.988243372089393,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,112317.07,88743.69,0,NONE,-1.499462434843018,-0.6327152495993559,-1.3502561445254266,-0.10522152721962842,-1.0064015845107745,0.31222621080467605,-1.2194084089627824,-2.5703615132694124,-0.5996089377152591,0.06297250126919424,-1.7395250261861788,-0.22607399053501226,-0.8816915773147213,-1.48671475153303,-0.9704092775557779,-1.4477057777056874,-0.6987567408107346,-1.465237653391792,-0.8199163420097082,-0.01339817791126261,-1.2106995006461616,-0.022884617991149343,-0.8259728115241829,0.5002781279795813,-1.5931589830308246,-0.12716366458484946,-1.0841617967887642,-1.004570930657327,-0.7569958100656013,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,0.23821602078791645,-1.262356748633051,0.6143503008197787,-1.2736103700195667,0.7150983577711966,1.2252754129655061,-1.5591515655271426,-1.5844539075856012
2016-01-08,2016,0,1,0,0.6893734900417763,250,26,27,125.08,17.99,22,4.32,81596.96,53088.14,57332.38,9055.45,5942.27,207015.2,3450.44,3944.4,49,0.1017,5.0,141263.36,56557.71,8694.23,9128.58,0.0,3074.83,55733.9,8597.59,12077.17,9045.49,2182.07,26.63413156262871,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,123446.15,90567.34000000001,0,NONE,-1.499462434843018,-0.6327152495993559,-1.3502561445254266,-0.10522152721962842,-0.9270495564990175,0.31222621080467605,-0.7745479007993019,-2.2059662930531907,-0.4079755840677074,0.0542902686721193,-2.011040438953732,0.24362486688693236,-1.241993719975204,-0.0804073257160309,-0.8606192789121336,-0.7120858941149653,-0.42061230049113996,-1.0635573781978833,-0.2252793747104652,-0.7812975385208473,-0.4786339919552243,1.131850515815017,0.35656497070836785,0.3633363621168307,-1.357168334125078,-0.13593083149659307,-1.1580564910963982,-1.004570930657327,0.2202214213666948,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,0.6016492057933374,-0.3525198269717965,-0.6127920270187031,-1.273610370019567,0.7150983577711966,1.2252754129655061,-0.9202660064042523,-1.3212594415991146
2016-01-09,2016,1,1,0,0.5624694388552048,250,20,27,94.87,16.0,27,4.46,71612.52,35054.36,45226.44,5670.16,7212.86,164776.34,2438.84,4164.27,40,0.0954,4.0,143409.16,52926.62,8261.03,9324.33,0.0,3316.3,55733.9,8597.59,12077.17,9045.49,-3459.5,8.522669131999791,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,92936.73,85016.04000000001,0,NONE,-1.499462434843018,1.580489802692782,-1.3502561445254266,-0.10522152721962842,-2.12861989527847,0.31222621080467605,-2.109129425289743,-2.2059662930531907,-2.390593259989808,-0.8095918747367018,-0.6534633751159653,0.5425241397918047,-1.8256590013766563,-1.7822997129149207,-1.8149057679341176,-1.5125663314422584,-0.005009849234982512,-2.2675139295540823,-1.3653918747008256,-0.5970328678773436,-1.7963519075989112,0.54040081313381,-0.8259728115241829,0.46183388876106996,-2.0303898586962483,-0.41015008825956983,-0.8848763889109568,-1.004570930657327,0.8313649941152812,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,-0.45316317287464236,-3.2711885410068136,-1.3779027538551831,-0.314087851349188,0.7150983577711966,1.2252754129655061,-2.839954289473577,-2.1396926610618174
2016-01-10,2016,1,1,0,0.5635680829938686,250,21,38,99.05,17.99,24,4.48,70901.79,38014.89,59046.46,8834.03,5206.21,182003.38,2016.59,3889.77,42,0.0916,4.0,143950.48,53589.46,8395.57,8744.53,0.0,2904.43,55733.9,8597.59,12077.17,9045.49,-3830.46,21.75668657587614,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,108137.56,84610.40999999999,0,NONE,-1.499462434843018,1.580489802692782,-1.3502561445254266,-0.10522152721962842,-2.1182175621965142,0.31222621080467605,-1.8866991712080028,-0.20179258186397012,-2.1162688016861217,0.0542902686721193,-1.4680096134186253,0.5852240359210732,-1.8672064918168272,-1.5029071801750333,-0.7255018584472376,-0.76444252484173,-0.6613731598333412,-1.7764825033158906,-1.8412840288338128,-0.8270808602894133,-1.5035257041225363,0.18365337342133628,-0.8259728115241829,0.48668181546582334,-1.9074961393594232,-0.3249851325696097,-1.6940198026893407,-1.004570930657327,-0.21104898405161424,-2.0646857418733995,-2.033078032730081,-2.064425319503636,-1.7285631827885934,-0.5225220924645214,-1.1385218487183821,-1.1048378969672386,0.8824171587403873,0.7150983577711966,1.2252754129655061,-1.8155851538777623,-2.2015746607352495
